hidden_size: 100, layer: 1, temperature: 0.2
hidden_size: 100, layer: 1, temperature: 0.3
hidden_size: 100, layer: 1, temperature: 0.4
hidden_size: 100, layer: 1, temperature: 0.5
hidden_size: 100, layer: 1, temperature: 0.6
hidden_size: 100, layer: 1, temperature: 0.7
hidden_size: 100, layer: 1, temperature: 0.8
hidden_size: 100, layer: 1, temperature: 0.9
hidden_size: 100, layer: 2, temperature: 0.2
hidden_size: 100, layer: 2, temperature: 0.3
hidden_size: 100, layer: 2, temperature: 0.4
hidden_size: 100, layer: 2, temperature: 0.5
hidden_size: 100, layer: 2, temperature: 0.6
hidden_size: 100, layer: 2, temperature: 0.7
hidden_size: 100, layer: 2, temperature: 0.8
hidden_size: 100, layer: 2, temperature: 0.9
hidden_size: 100, layer: 3, temperature: 0.2
hidden_size: 100, layer: 3, temperature: 0.3
hidden_size: 100, layer: 3, temperature: 0.4
hidden_size: 100, layer: 3, temperature: 0.5
hidden_size: 100, layer: 3, temperature: 0.6
hidden_size: 100, layer: 3, temperature: 0.7
hidden_size: 100, layer: 3, temperature: 0.8
hidden_size: 100, layer: 3, temperature: 0.9
hidden_size: 100, layer: 4, temperature: 0.2
hidden_size: 100, layer: 4, temperature: 0.3
hidden_size: 100, layer: 4, temperature: 0.4
hidden_size: 100, layer: 4, temperature: 0.5
hidden_size: 100, layer: 4, temperature: 0.6
hidden_size: 100, layer: 4, temperature: 0.7
hidden_size: 100, layer: 4, temperature: 0.8
hidden_size: 100, layer: 4, temperature: 0.9
hidden_size: 200, layer: 1, temperature: 0.2
hidden_size: 200, layer: 1, temperature: 0.3
hidden_size: 200, layer: 1, temperature: 0.4
hidden_size: 200, layer: 1, temperature: 0.5
hidden_size: 200, layer: 1, temperature: 0.6
hidden_size: 200, layer: 1, temperature: 0.7
hidden_size: 200, layer: 1, temperature: 0.8
hidden_size: 200, layer: 1, temperature: 0.9
hidden_size: 200, layer: 2, temperature: 0.2
hidden_size: 200, layer: 2, temperature: 0.3
hidden_size: 200, layer: 2, temperature: 0.4
hidden_size: 200, layer: 2, temperature: 0.5
hidden_size: 200, layer: 2, temperature: 0.6
hidden_size: 200, layer: 2, temperature: 0.7
hidden_size: 200, layer: 2, temperature: 0.8
hidden_size: 200, layer: 2, temperature: 0.9
hidden_size: 200, layer: 3, temperature: 0.2
Error
hidden_size: 200, layer: 3, temperature: 0.3
hidden_size: 200, layer: 3, temperature: 0.4
hidden_size: 200, layer: 3, temperature: 0.5
hidden_size: 200, layer: 3, temperature: 0.6
hidden_size: 200, layer: 3, temperature: 0.7
hidden_size: 200, layer: 3, temperature: 0.8
hidden_size: 200, layer: 3, temperature: 0.9
hidden_size: 200, layer: 4, temperature: 0.2
Error
hidden_size: 200, layer: 4, temperature: 0.3
hidden_size: 200, layer: 4, temperature: 0.4
hidden_size: 200, layer: 4, temperature: 0.5
hidden_size: 200, layer: 4, temperature: 0.6
hidden_size: 200, layer: 4, temperature: 0.7
hidden_size: 200, layer: 4, temperature: 0.8
hidden_size: 200, layer: 4, temperature: 0.9
hidden_size: 300, layer: 1, temperature: 0.2
Error
hidden_size: 300, layer: 1, temperature: 0.3
hidden_size: 300, layer: 1, temperature: 0.4
hidden_size: 300, layer: 1, temperature: 0.5
hidden_size: 300, layer: 1, temperature: 0.6
hidden_size: 300, layer: 1, temperature: 0.7
hidden_size: 300, layer: 1, temperature: 0.8
hidden_size: 300, layer: 1, temperature: 0.9
hidden_size: 300, layer: 2, temperature: 0.2
Error
hidden_size: 300, layer: 2, temperature: 0.3
hidden_size: 300, layer: 2, temperature: 0.4
hidden_size: 300, layer: 2, temperature: 0.5
hidden_size: 300, layer: 2, temperature: 0.6
hidden_size: 300, layer: 2, temperature: 0.7
hidden_size: 300, layer: 2, temperature: 0.8
hidden_size: 300, layer: 2, temperature: 0.9
hidden_size: 300, layer: 3, temperature: 0.2
hidden_size: 300, layer: 3, temperature: 0.3
hidden_size: 300, layer: 3, temperature: 0.4
hidden_size: 300, layer: 3, temperature: 0.5
hidden_size: 300, layer: 3, temperature: 0.6
hidden_size: 300, layer: 3, temperature: 0.7
hidden_size: 300, layer: 3, temperature: 0.8
hidden_size: 300, layer: 3, temperature: 0.9
hidden_size: 300, layer: 4, temperature: 0.2
hidden_size: 300, layer: 4, temperature: 0.3
hidden_size: 300, layer: 4, temperature: 0.4
hidden_size: 300, layer: 4, temperature: 0.5
hidden_size: 300, layer: 4, temperature: 0.6
hidden_size: 300, layer: 4, temperature: 0.7
hidden_size: 300, layer: 4, temperature: 0.8
hidden_size: 300, layer: 4, temperature: 0.9
hidden_size: 400, layer: 1, temperature: 0.2
hidden_size: 400, layer: 1, temperature: 0.3
hidden_size: 400, layer: 1, temperature: 0.4
hidden_size: 400, layer: 1, temperature: 0.5
hidden_size: 400, layer: 1, temperature: 0.6
hidden_size: 400, layer: 1, temperature: 0.7
hidden_size: 400, layer: 1, temperature: 0.8
hidden_size: 400, layer: 1, temperature: 0.9
hidden_size: 400, layer: 2, temperature: 0.2
hidden_size: 400, layer: 2, temperature: 0.3
hidden_size: 400, layer: 2, temperature: 0.4
hidden_size: 400, layer: 2, temperature: 0.5
hidden_size: 400, layer: 2, temperature: 0.6
hidden_size: 400, layer: 2, temperature: 0.7
hidden_size: 400, layer: 2, temperature: 0.8
hidden_size: 400, layer: 2, temperature: 0.9
hidden_size: 400, layer: 3, temperature: 0.2
Error
hidden_size: 400, layer: 3, temperature: 0.3
hidden_size: 400, layer: 3, temperature: 0.4
hidden_size: 400, layer: 3, temperature: 0.5
hidden_size: 400, layer: 3, temperature: 0.6
hidden_size: 400, layer: 3, temperature: 0.7
hidden_size: 400, layer: 3, temperature: 0.8
hidden_size: 400, layer: 3, temperature: 0.9
hidden_size: 400, layer: 4, temperature: 0.2
hidden_size: 400, layer: 4, temperature: 0.3
hidden_size: 400, layer: 4, temperature: 0.4
hidden_size: 400, layer: 4, temperature: 0.5
hidden_size: 400, layer: 4, temperature: 0.6
